,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299
0,22,50,59,59,75,36,62,28,22,39,48,70,55,28,40,49,30,66,67,43,27,71,34,25,31,32,68,21,27,60,43,46,75,35,22,23,24,73,51,23,21,30,33,32,65,56,29,22,58,49,44,55,38,68,29,42,24,35,70,40,52,51,42,45,23,38,62,34,52,30,31,69,72,39,23,68,41,47,75,41,46,42,69,32,21,34,37,35,21,21,43,26,30,33,31,42,22,21,57,57,30,74,47,55,39,23,39,48,37,22,54,53,31,22,31,73,38,29,30,33,48,48,26,24,21,65,38,35,36,45,68,56,44,28,63,29,78,26,29,51,49,46,31,21,36,27,24,69,76,78,72,74,27,49,76,77,35,21,27,32,30,65,55,24,32,65,45,28,33,25,30,38,26,71,62,32,31,24,66,36,34,59,22,36,75,64,62,29,41,72,30,39,27,76,32,48,78,47,31,21,22,76,39,42,38,38,35,63,59,27,70,67,56,50,73,46,58,49,57,50,29,65,68,58,25,71,31,28,39,67,55,56,60,43,32,32,23,39,59,23,51,22,53,40,31,26,38,30,33,66,58,29,73,36,25,63,65,52,22,30,47,51,27,32,27,35,47,66,41,61,55,45,27,39,56,43,64,30,40,24,54,59,27,32,77,29,67,34,51,32,49,27,28,40,40,27,44,32,26,37
1,59,55,22,43,25,72,54,23,37,23,67,77,25,43,40,61,60,23,40,40,43,27,36,45,33,69,44,27,27,64,63,72,36,57,44,43,57,61,47,72,27,32,59,28,58,42,52,38,32,48,69,49,32,35,57,60,31,26,25,57,43,38,33,49,49,75,45,65,64,34,62,74,45,55,33,28,23,22,64,58,37,23,75,40,37,26,32,27,27,68,65,76,30,52,44,44,32,23,34,55,37,22,27,44,24,21,28,27,70,28,42,36,37,55,42,78,72,21,46,59,22,63,47,64,55,52,54,51,56,39,21,44,61,25,46,36,78,28,41,21,52,24,27,21,35,31,64,65,35,30,24,72,34,54,25,22,24,26,32,70,30,25,75,27,50,25,21,21,71,25,40,24,65,33,28,24,34,43,73,58,50,49,23,27,77,35,23,74,39,50,23,27,54,21,25,70,22,59,34,66,24,22,48,25,48,37,54,33,33,29,37,39,27,40,39,30,27,22,40,23,33,30,27,27,29,28,51,55,49,47,34,40,52,48,61,21,24,61,56,77,24,74,50,51,24,24,57,31,25,32,55,52,23,28,23,29,43,29,35,51,24,78,27,33,29,67,36,53,41,56,41,52,29,52,22,35,72,29,30,23,27,73,56,36,50,34,34,22,39,37,35,24,38,33,26,31,24,38,58,39
2,23,22,78,30,69,43,22,21,72,32,29,21,26,27,72,23,33,31,26,77,46,23,31,39,27,50,45,65,54,71,55,39,26,48,40,38,78,21,62,63,42,32,26,36,34,30,77,29,48,23,56,28,31,43,34,60,31,26,22,37,26,50,30,43,51,45,48,51,22,21,67,29,78,36,35,26,31,54,27,27,33,22,23,38,27,28,31,28,42,26,76,59,69,37,78,43,50,31,67,24,26,26,35,50,52,27,76,50,52,44,39,53,41,32,75,27,51,30,23,28,56,38,29,36,22,34,30,42,65,30,29,24,37,24,21,32,66,36,21,40,35,25,31,31,25,21,68,50,33,59,37,59,23,48,32,47,26,38,78,49,36,26,28,28,35,21,21,22,58,40,46,27,56,29,49,25,60,24,53,47,57,61,34,36,22,21,23,23,44,39,51,50,25,44,58,50,41,54,38,55,52,30,29,65,32,53,30,33,66,71,74,27,69,35,59,23,41,75,26,40,43,25,49,54,49,56,31,76,73,22,58,57,69,41,39,53,68,51,54,22,22,44,61,27,36,61,33,76,52,26,30,76,26,74,69,52,56,22,47,23,33,43,48,59,21,27,37,33,21,66,33,25,64,23,72,78,72,23,24,42,57,62,42,42,23,50,21,42,56,26,22,55,48,72,52,65,23,71,50,37
3,70,55,68,40,48,21,77,42,64,42,39,38,33,32,55,46,21,29,42,51,28,40,75,50,48,24,43,25,22,68,38,66,35,66,64,47,41,47,72,74,29,25,50,43,24,54,28,21,23,37,42,21,29,21,25,67,43,36,67,68,33,48,26,23,63,72,41,33,28,71,66,23,25,29,41,28,25,38,78,49,65,46,44,52,31,62,36,50,56,29,27,32,47,38,54,28,49,26,27,27,39,43,34,26,28,36,43,32,25,43,33,74,32,32,57,54,46,48,47,22,39,67,26,27,51,31,29,74,42,34,66,23,43,30,46,36,25,29,69,25,33,52,25,74,36,22,44,28,29,43,36,48,57,24,75,39,49,38,25,52,56,46,26,25,64,49,52,67,40,77,45,56,31,23,24,50,62,37,52,33,21,53,24,53,23,61,21,68,33,51,59,42,37,44,56,41,56,72,55,52,39,25,25,30,33,33,26,35,39,25,73,55,34,30,45,25,65,29,78,31,66,54,27,31,44,34,75,36,25,23,76,54,65,52,42,27,22,35,72,23,78,34,38,73,22,78,26,28,40,37,66,58,71,29,25,38,24,26,32,76,63,37,26,48,66,58,46,27,32,48,32,22,31,37,28,78,21,24,30,73,52,78,32,43,38,71,41,31,75,43,39,78,21,38,66,24,34,27,29,65
4,42,43,37,57,76,69,28,67,33,24,38,74,28,27,56,21,43,27,38,41,24,44,31,44,68,64,58,36,40,31,30,34,21,65,26,52,47,21,47,21,43,71,41,72,22,22,37,31,61,47,24,56,29,25,32,28,59,76,61,69,42,21,22,60,50,29,48,60,26,37,22,36,21,34,31,59,27,29,24,67,66,21,57,46,27,76,37,41,45,40,66,58,49,41,28,75,78,40,51,47,60,32,33,31,27,25,74,51,34,26,69,23,22,23,31,23,23,30,56,29,24,47,46,45,30,34,28,61,41,44,48,25,36,38,78,61,34,29,39,70,33,36,39,46,31,34,34,22,59,63,23,62,45,31,40,47,26,48,35,43,58,31,35,36,77,26,27,21,27,34,53,31,24,29,50,57,23,43,58,33,24,38,76,40,42,66,25,32,77,54,42,37,56,69,73,33,27,76,68,56,76,58,60,30,21,30,24,32,50,22,28,31,25,49,31,78,50,21,40,25,72,44,37,40,74,26,73,50,73,42,44,21,58,40,78,21,54,76,34,42,36,42,27,25,50,71,42,28,31,49,22,62,23,51,71,22,30,57,24,61,54,75,24,38,29,52,38,64,70,27,59,64,41,36,49,28,49,41,25,46,32,40,34,41,24,50,64,63,45,25,52,33,53,30,62,60,31,21,26,23
5,53,26,72,56,58,27,74,29,66,28,63,66,27,60,42,34,37,53,24,46,34,55,45,28,40,27,49,24,62,73,26,66,29,35,46,27,30,27,26,26,23,30,36,43,40,25,27,57,43,54,25,35,57,77,32,53,54,36,63,38,49,44,48,56,31,56,21,73,56,70,32,22,60,33,50,73,22,61,62,47,40,39,41,27,65,33,26,71,40,40,45,23,68,58,35,44,21,22,29,46,33,35,22,46,65,57,27,45,32,24,22,53,22,55,27,34,26,23,23,26,25,62,58,31,33,65,31,29,28,22,36,54,25,44,44,42,52,26,53,66,52,44,51,30,57,76,24,41,50,39,57,74,46,26,27,21,30,74,65,33,40,21,38,25,22,76,40,29,71,68,25,25,50,39,21,39,75,60,54,40,27,28,51,27,24,23,75,28,26,41,25,26,40,70,68,46,41,46,35,52,40,55,73,44,22,21,22,33,38,63,67,25,31,31,24,74,34,56,30,31,78,43,24,69,29,30,56,78,25,55,40,27,73,23,31,29,57,57,22,33,28,63,63,54,52,50,29,42,56,25,49,42,46,27,54,72,37,32,29,31,38,24,78,22,21,28,72,33,41,63,76,54,78,25,25,34,37,50,72,67,27,49,25,57,65,60,42,57,53,28,56,22,52,23,73,41,24,33,38,71
6,47,45,35,32,42,47,76,41,53,22,77,28,32,28,41,24,69,43,22,29,45,35,22,26,57,35,62,55,23,52,69,26,55,38,46,55,69,50,50,38,39,65,22,26,24,26,71,24,31,48,30,72,44,74,26,77,57,36,77,36,46,24,33,23,47,58,32,55,24,21,66,48,30,68,34,30,33,23,66,21,60,30,57,37,57,44,34,33,26,45,43,56,69,37,21,22,30,26,33,21,38,42,60,24,31,56,22,61,28,51,29,48,35,44,35,74,23,34,24,24,35,27,48,40,33,78,42,31,29,29,49,32,63,44,40,22,24,71,52,60,24,21,41,21,74,21,27,59,40,57,34,26,62,39,59,41,35,52,75,43,32,43,49,65,36,45,53,59,44,62,36,44,24,58,76,31,74,43,22,57,67,46,42,35,23,36,53,31,33,33,28,78,28,47,46,45,75,21,40,76,44,45,52,35,23,44,25,48,30,51,43,21,70,39,27,69,27,25,48,28,30,57,21,76,23,21,76,70,48,23,29,26,22,59,65,29,77,25,34,63,25,50,32,21,69,22,27,50,50,22,32,35,25,55,30,36,42,34,21,63,34,25,21,33,69,60,23,28,32,42,24,21,53,25,27,51,22,39,28,66,69,28,65,60,57,22,42,61,36,65,40,34,52,45,68,27,48,24,46,32
7,44,59,52,39,46,27,25,39,75,30,64,21,26,21,43,50,33,43,37,47,68,77,37,57,25,60,59,22,26,61,21,53,59,42,60,50,21,77,44,27,64,52,24,39,42,25,41,30,32,60,57,63,25,40,25,68,21,69,41,56,47,26,31,44,26,27,72,76,33,51,34,45,25,59,43,24,32,41,76,53,44,24,77,22,48,69,27,41,41,21,46,74,30,24,44,64,46,37,49,35,52,41,21,44,23,54,61,23,28,74,21,35,42,61,62,61,34,54,38,68,60,48,29,39,31,51,47,54,23,35,77,61,33,42,51,26,23,25,50,28,47,29,67,36,49,30,23,74,30,47,50,61,43,42,59,32,36,40,74,32,26,28,76,52,22,32,21,32,61,62,40,35,32,27,23,48,53,31,73,49,44,75,61,42,38,75,32,21,34,51,71,62,21,54,75,49,78,24,70,27,27,25,22,23,29,33,44,71,46,61,40,54,25,44,33,35,62,57,21,23,22,41,54,33,30,41,34,28,23,61,39,51,29,47,52,68,59,77,21,39,57,74,32,70,71,22,50,29,39,28,23,33,42,53,63,41,56,22,36,54,21,38,42,40,31,48,25,26,26,71,69,37,32,59,63,77,22,69,49,36,46,56,47,26,35,29,72,47,66,64,61,32,77,38,33,47,38,44,29,49
8,30,41,21,66,52,49,24,43,21,32,59,28,23,35,50,23,63,78,69,25,30,35,24,78,41,33,21,21,43,50,23,47,42,44,78,23,78,75,48,47,23,34,30,65,49,76,49,35,21,23,21,68,39,45,54,49,73,56,24,64,41,53,44,43,52,32,76,67,45,30,74,33,40,54,21,75,38,35,44,43,73,22,27,41,61,66,76,44,47,74,40,64,27,33,36,38,29,50,77,38,75,33,24,66,50,75,25,76,21,33,39,26,21,29,45,35,38,61,53,28,56,24,53,57,51,34,23,46,64,32,32,58,71,25,66,42,28,34,60,33,78,68,41,51,44,33,32,44,49,57,53,29,58,49,46,44,70,48,30,28,42,73,22,32,71,25,74,49,24,70,34,28,24,50,68,46,64,70,27,56,38,47,35,58,63,78,28,77,57,34,35,21,21,69,77,65,23,27,66,32,59,24,30,54,48,49,70,28,22,48,37,30,36,22,23,30,29,74,26,52,62,32,72,38,47,48,47,35,36,21,29,23,37,61,44,47,22,22,72,22,23,43,64,55,27,50,77,22,23,36,43,69,26,53,27,77,62,59,21,55,27,75,61,36,57,40,35,51,21,21,67,66,44,70,47,24,51,61,22,67,26,26,39,50,35,49,21,23,67,24,21,36,41,31,28,35,31,57,36,25
9,70,25,57,28,47,37,32,52,46,77,38,22,22,43,21,23,41,43,29,31,29,22,34,50,61,36,68,61,36,24,31,64,25,45,41,59,55,29,25,26,49,25,35,77,44,44,52,75,37,75,48,48,43,75,33,52,32,39,67,46,40,45,27,62,46,45,29,38,32,21,47,55,61,58,33,51,22,29,40,59,28,33,29,27,23,64,74,44,24,50,27,46,78,32,45,36,71,46,26,26,64,52,22,59,27,40,21,62,23,66,73,29,56,26,47,29,55,25,54,65,29,63,42,48,47,77,48,51,33,28,24,39,30,24,22,48,23,22,46,26,34,34,33,32,28,25,36,25,27,35,28,54,48,22,25,26,22,64,53,32,28,24,26,38,47,27,32,59,41,72,24,26,44,35,38,39,39,21,50,45,52,56,25,21,36,21,23,26,25,35,44,21,26,54,46,37,24,21,57,22,45,67,37,59,23,64,23,52,47,76,27,77,25,57,36,64,32,69,35,46,30,72,49,26,31,26,24,41,47,75,30,23,77,39,68,74,28,43,66,23,37,47,66,41,27,64,68,44,23,60,69,41,23,66,59,21,65,30,40,33,36,49,48,43,26,63,73,35,23,27,67,23,34,40,21,21,76,45,40,37,42,65,24,70,30,37,39,39,41,29,54,41,48,45,42,49,64,57,35,32
